user_id,user_name,age,gender,region,subscription_type,subscription_start_date,subscription_end_date,is_active,device_type,content_id,content_title,genre,content_type,language,release_year,avg_watch_time_per_day,total_watch_time,watch_date,watch_duration,completion_rate,rating_given,liked,recommended_content_ids,last_login_time,total_sessions_per_week,avg_stream_quality,peak_watch_hour,network_speed_mbps,buffering_count,payment_method,monthly_spend,churn_flag,account_creation_date,
U10017,Brad Brown,34,Male,Delhi,Basic,16-06-2024,04-04-2025,1,Tablet,C1180,Organic disintermediate application,Comedy,Series,Spanish,2025,115.87,7359.4,12-05-2025,48.11,46.22,1.3,0,"C1000, C1378, C1221",06-11-2025 13:45,23,4K,19,91.97,0,Credit Card,499,0,14-04-2024,
U10018,Laura Holloway,18,Other,West Bengal,Standard,31-07-2024,03-07-2025,1,Laptop,C1412,Operative next generation service-desk,Comedy,Movie,Tamil,2016,46.02,471.92,14-10-2025,142.37,95.18,2.1,0,"C1464, C1202, C1142",05-11-2025 23:33,19,720p,3,43.6,3,Debit Card,199,0,28-03-2024,
U10019,Samantha Perez,25,Female,Bihar,Basic,04-01-2024,02-01-2025,1,Laptop,C1119,Centralized holistic secured line,Documentary,Series,English,2020,45.71,2004.33,22-08-2025,57.45,77.09,1.7,0,"C1289, C1282, C1035",07-11-2025 04:35,18,720p,18,14.48,5,Wallet,199,0,29-09-2023,
U10020,Gary Turner,30,Male,West Bengal,Basic,10-10-2024,10-08-2025,1,Tablet,C1198,Versatile static neural-net,Thriller,Movie,English,2022,75.31,6944.54,23-05-2025,14.41,49.21,3.4,0,"C1098, C1065, C1390",07-11-2025 19:08,22,720p,8,50.78,2,Credit Card,199,0,25-04-2024,
U10021,Brandy Francis,50,Female,Tamil Nadu,Premium,01-04-2024,29-03-2025,1,Tablet,C1458,Re-engineered reciprocal protocol,Thriller,Documentary,Hindi,2023,124.01,7290.63,10-09-2025,85.05,51.71,3.9,0,"C1359, C1391, C1073",04-11-2025 15:15,30,480p,22,65.07,2,Wallet,199,0,15-08-2023,
U10022,Dwayne Ramirez,32,Other,West Bengal,Standard,25-11-2023,16-09-2024,0,Mobile,C1339,Multi-tiered optimal groupware,Thriller,Documentary,English,2018,91.89,8168.68,23-09-2025,93.25,43.6,1.3,0,"C1394, C1336, C1297",10-11-2025 05:21,22,720p,13,20.09,0,Wallet,199,0,04-09-2023,
U10023,Sarah Walker,16,Male,Karnataka,Standard,23-06-2024,19-05-2025,1,Laptop,C1467,Monitored homogeneous project,Romance,Movie,Japanese,2016,55.54,3895.89,16-06-2025,19.85,92.14,5,1,"C1269, C1095, C1058",06-11-2025 08:02,30,720p,17,5.72,3,Credit Card,499,0,06-12-2023,
U10024,Stephanie Stephens,29,Female,Delhi,Premium,23-12-2023,18-12-2024,0,Mobile,C1426,Devolved zero administration standardization,Drama,Movie,Korean,2023,36.44,2163.92,21-05-2025,129.09,49.92,1.1,0,"C1008, C1389, C1365",06-11-2025 09:37,27,4K,21,37.67,4,UPI,499,0,06-06-2023,
U10025,Gregory Liu,17,Male,Maharashtra,Basic,17-01-2024,31-08-2024,0,Smart TV,C1436,Quality-focused multimedia monitoring,Action,Movie,Telugu,2019,171.41,16211.49,25-08-2025,66.97,59.52,2.6,0,"C1473, C1296, C1072",10-11-2025 16:43,18,720p,21,6.88,0,UPI,499,1,17-12-2023,
U10026,Claudia Marshall,44,Other,Bihar,Basic,23-01-2024,31-12-2024,0,Smart TV,C1280,Triple-buffered multimedia flexibility,Thriller,Documentary,Telugu,2023,149.78,8778.14,02-06-2025,157.8,52.32,1.6,0,"C1347, C1360, C1238",04-11-2025 17:21,19,480p,4,87.93,2,Credit Card,199,0,24-10-2023,
U10027,Mary Cruz,53,Other,Maharashtra,Premium,24-03-2024,13-11-2024,0,Smart TV,C1475,Object-based multi-state functionalities,Drama,Series,Tamil,2017,74.05,6681.09,01-09-2025,20.69,73.56,2.8,0,"C1346, C1286, C1118",03-11-2025 11:29,21,720p,16,24.67,5,Credit Card,499,0,06-10-2023,
U10028,Travis Anderson,53,Other,Karnataka,Standard,31-10-2024,14-09-2025,1,Smart TV,C1480,Streamlined web-enabled Local Area Network,Horror,Series,Spanish,2022,116.56,6632.97,28-06-2025,35.21,84.49,1,0,"C1323, C1398, C1097",07-11-2025 18:54,6,4K,5,28.6,0,Debit Card,649,0,22-01-2024,
U10029,Anthony Atkinson,24,Female,Tamil Nadu,Premium,03-07-2024,19-02-2025,1,Laptop,C1025,Vision-oriented tertiary budgetary management,Horror,Movie,English,2017,99.01,3274.76,13-05-2025,73.14,69.5,3.9,0,"C1028, C1434, C1489",02-11-2025 17:10,16,720p,15,89.95,0,UPI,649,0,23-01-2024,
U10030,Courtney Moreno,43,Other,West Bengal,Basic,03-03-2024,25-11-2024,0,Mobile,C1273,Adaptive optimal throughput,Drama,Series,Telugu,2024,120.45,4065.81,18-05-2025,108.9,46.81,2.5,0,"C1390, C1007, C1073",10-11-2025 15:56,24,720p,14,12.39,4,Debit Card,799,0,15-05-2023,
U10031,Suzanne Kelley,47,Other,Maharashtra,Standard,26-11-2023,01-11-2024,0,Smart TV,C1019,De-engineered exuding help-desk,Action,Series,Korean,2019,161.98,4541.45,08-06-2025,85.18,42.03,4.2,1,"C1428, C1119, C1045",02-11-2025 22:47,24,720p,1,41.64,1,Debit Card,649,0,24-07-2023,
U10032,Danielle Garrison,59,Male,West Bengal,Premium,07-10-2024,05-05-2025,1,Tablet,C1163,Focused maximized core,Action,Series,Telugu,2015,164.76,6733.69,19-09-2025,85.24,65.09,3.5,0,"C1280, C1269, C1201",07-11-2025 00:19,3,1080p,5,62.28,4,Wallet,199,0,29-02-2024,
U10033,Sharon Fisher,42,Male,Delhi,Premium,24-08-2024,21-05-2025,1,Tablet,C1049,Extended tangible attitude,Comedy,Series,Korean,2018,105.94,8108.21,25-07-2025,69.68,47.59,1.7,0,"C1161, C1287, C1325",06-11-2025 02:05,26,480p,6,52.18,4,UPI,499,0,23-12-2023,
U10034,Ricky Franklin,19,Male,Maharashtra,Standard,22-06-2024,17-02-2025,1,Tablet,C1131,Advanced 4thgeneration Local Area Network,Sci-Fi,Movie,Korean,2016,176.94,15896.75,13-07-2025,28.3,49.08,4.3,1,"C1268, C1378, C1203",01-11-2025 19:00,7,480p,0,82.52,0,Credit Card,199,0,13-09-2023,
U10035,William Johnson,56,Male,Kerala,Standard,29-04-2024,08-02-2025,1,Mobile,C1091,Devolved local superstructure,Drama,Documentary,English,2018,138.39,6040.78,17-08-2025,98.33,58.77,2.7,0,"C1319, C1251, C1475",03-11-2025 11:53,27,720p,16,35.64,4,Debit Card,799,0,12-10-2023,
U10036,Matthew Hart,41,Male,Kerala,Premium,18-04-2024,19-02-2025,1,Mobile,C1332,Operative eco-centric leverage,Romance,Documentary,Spanish,2017,41.05,3451.2,29-06-2025,161,78.13,4.4,1,"C1103, C1039, C1489",08-11-2025 16:08,9,1080p,11,62.83,0,UPI,199,0,14-07-2023,
U10037,Brian Hernandez,23,Female,Uttar Pradesh,Premium,01-01-2024,06-11-2024,0,Mobile,C1417,Self-enabling object-oriented instruction set,Horror,Series,Japanese,2023,44.51,2169.34,06-06-2025,63.29,62.13,3.4,0,"C1074, C1331, C1085",06-11-2025 01:24,29,720p,16,86.23,0,Wallet,199,1,29-06-2023,
U10038,Erika Harris,39,Other,Tamil Nadu,Basic,25-05-2024,25-04-2025,1,Smart TV,C1419,Down-sized explicit alliance,Thriller,Documentary,Korean,2015,136.07,1695.28,06-09-2025,104.66,56.39,1.7,0,"C1230, C1343, C1264",07-11-2025 06:21,27,4K,0,23.7,3,Credit Card,499,0,30-07-2023,
U10039,Melissa Howard,17,Male,Uttar Pradesh,Basic,15-07-2024,17-03-2025,1,Smart TV,C1186,Fully-configurable mobile Graphic Interface,Sci-Fi,Series,Tamil,2023,52.75,3838.92,27-08-2025,141.11,49.59,1.7,0,"C1200, C1427, C1400",03-11-2025 07:15,5,1080p,5,98.18,5,UPI,799,0,28-10-2023,
U10040,Aaron Turner,38,Male,Delhi,Premium,09-05-2024,28-01-2025,1,Tablet,C1387,Distributed homogeneous circuit,Horror,Documentary,Telugu,2021,87.46,4281.74,07-07-2025,139.33,60.25,3.4,0,"C1342, C1215, C1385",06-11-2025 13:14,5,480p,8,47.37,3,UPI,199,0,14-07-2023,
U10041,Teresa Cooper,24,Male,Uttar Pradesh,Standard,13-03-2024,21-11-2024,0,Tablet,C1157,Customizable 3rdgeneration strategy,Action,Movie,Hindi,2017,45.87,2887.68,24-10-2025,142.83,67.62,3.6,0,"C1229, C1280, C1230",02-11-2025 12:48,3,4K,14,54.15,5,Wallet,199,0,17-07-2023,
U10042,William Snyder,48,Male,Tamil Nadu,Premium,06-03-2024,30-12-2024,0,Laptop,C1040,Diverse mobile task-force,Drama,Movie,English,2021,49.97,2460.68,31-05-2025,57.08,60.01,2,0,"C1347, C1222, C1356",10-11-2025 00:15,10,4K,22,15.2,3,UPI,499,1,06-12-2023,
U10043,Kathy Bryant,37,Male,Uttar Pradesh,Premium,21-03-2024,12-01-2025,1,Laptop,C1253,Intuitive holistic projection,Horror,Documentary,Japanese,2015,133.68,12962.64,05-09-2025,89.26,91.66,1.1,0,"C1207, C1463, C1120",04-11-2025 09:09,24,1080p,9,53.18,4,Wallet,199,0,11-07-2023,
U10044,Carrie Williams,32,Male,Kerala,Standard,14-06-2024,08-03-2025,1,Mobile,C1088,Customizable client-driven synergy,Romance,Movie,Spanish,2023,127.14,6839.89,02-10-2025,84.9,88.61,4.7,1,"C1325, C1169, C1462",02-11-2025 14:24,28,4K,9,10.46,5,Credit Card,199,0,26-11-2023,
U10045,Henry Hudson,29,Female,Tamil Nadu,Premium,20-07-2024,12-06-2025,1,Tablet,C1299,Centralized discrete toolset,Romance,Movie,Korean,2020,174.99,3308.63,08-11-2025,150.44,77.34,2.6,0,"C1234, C1248, C1320",06-11-2025 19:39,19,720p,21,45.09,5,Debit Card,499,0,02-01-2024,
U10046,Robert Payne,28,Male,Bihar,Premium,18-08-2024,28-03-2025,1,Laptop,C1320,Open-source solution-oriented groupware,Thriller,Series,Japanese,2020,59.4,2670.27,24-05-2025,99.17,89.35,2.2,0,"C1320, C1456, C1062",31-10-2025 19:23,23,4K,16,32.48,0,Debit Card,499,0,09-06-2024,
U10047,Paul Kelley,27,Other,Karnataka,Premium,30-10-2024,07-08-2025,1,Tablet,C1204,Multi-tiered executive superstructure,Comedy,Movie,Telugu,2016,68.8,1129.02,26-06-2025,107.67,45.79,3.4,0,"C1198, C1210, C1438",08-11-2025 16:53,29,4K,12,65.56,2,Wallet,199,0,11-03-2024,
U10048,Pamela Calderon,42,Male,Tamil Nadu,Premium,21-02-2024,22-01-2025,1,Mobile,C1269,Multi-tiered object-oriented leverage,Drama,Movie,Korean,2019,42.89,3741.17,09-07-2025,118.3,49.82,4.4,1,"C1024, C1065, C1314",03-11-2025 07:56,20,480p,18,64.98,1,Debit Card,199,0,10-11-2023,
U10049,Victoria Roman,59,Female,West Bengal,Basic,19-07-2024,21-04-2025,1,Mobile,C1424,Distributed system-worthy encryption,Documentary,Movie,English,2024,45.93,1737.68,28-05-2025,15.7,56.3,3.3,0,"C1036, C1231, C1059",10-11-2025 11:03,8,1080p,14,48.7,5,Debit Card,199,0,28-01-2024,
U10050,Cassie Mendez,17,Other,West Bengal,Basic,24-01-2024,17-10-2024,0,Smart TV,C1320,Inverse holistic moratorium,Romance,Series,Spanish,2020,73.91,2899.94,28-09-2025,38.92,90.54,3.9,0,"C1322, C1465, C1212",03-11-2025 20:16,17,4K,3,46.4,2,Debit Card,799,0,06-06-2023,
U10051,Brian Harrison,30,Other,Uttar Pradesh,Basic,06-11-2024,01-11-2025,1,Laptop,C1352,Synchronized contextually-based capacity,Action,Documentary,Tamil,2024,136.62,9469.02,13-10-2025,109.56,46.48,2.7,0,"C1190, C1294, C1078",10-11-2025 05:07,15,480p,6,14.03,5,Wallet,649,0,06-06-2024,
U10052,Anne Snyder,32,Female,West Bengal,Standard,02-07-2024,13-03-2025,1,Tablet,C1182,Reactive analyzing initiative,Horror,Series,English,2022,87.43,2325.05,19-06-2025,170.07,53.89,1.4,0,"C1485, C1305, C1481",07-11-2025 03:52,26,1080p,7,77.86,5,Credit Card,199,0,25-02-2024,
U10053,Jeffrey Rose,51,Female,Bihar,Premium,18-10-2024,12-09-2025,1,Laptop,C1226,Vision-oriented multimedia monitoring,Romance,Movie,Japanese,2024,118.36,8214.41,07-10-2025,28.45,64.86,4.6,1,"C1120, C1244, C1100",04-11-2025 01:32,3,4K,13,26.94,3,Debit Card,799,0,30-07-2024,
U10054,Natalie Anderson,22,Male,Karnataka,Basic,02-07-2024,02-05-2025,1,Laptop,C1077,Future-proofed empowering Internet solution,Documentary,Movie,English,2020,59.89,877.01,27-05-2025,170.32,57.85,4.8,1,"C1346, C1250, C1458",05-11-2025 03:03,17,1080p,11,46.34,2,Debit Card,799,0,28-02-2024,
U10055,Stacie Perry,30,Male,Bihar,Basic,24-02-2024,28-09-2024,0,Tablet,C1288,Innovative bandwidth-monitored architecture,Romance,Movie,Japanese,2016,92.16,4173.93,26-05-2025,122.46,62.02,1.1,0,"C1105, C1446, C1473",05-11-2025 14:55,28,4K,22,83.38,5,Debit Card,799,0,29-05-2023,
U10056,Joseph Vazquez,27,Female,Uttar Pradesh,Basic,09-07-2024,22-06-2025,1,Mobile,C1081,Horizontal transitional orchestration,Thriller,Series,Korean,2016,164.97,2017.58,15-05-2025,179.05,96.3,3.5,0,"C1167, C1434, C1275",08-11-2025 19:37,16,480p,16,79.24,4,Wallet,799,0,27-11-2023,
U10057,Jacob Woods,48,Other,Delhi,Basic,27-06-2024,23-06-2025,1,Smart TV,C1159,Implemented regional model,Thriller,Documentary,Korean,2021,40.87,2249.31,11-07-2025,94.03,82.5,3.8,0,"C1009, C1168, C1279",09-11-2025 15:06,10,720p,17,14.23,1,Credit Card,799,0,07-11-2023,
U10058,Todd Thomas,36,Other,Uttar Pradesh,Standard,21-11-2023,08-10-2024,0,Smart TV,C1165,Streamlined 4thgeneration orchestration,Thriller,Movie,Spanish,2018,33.68,2282.57,18-10-2025,119.49,70.52,2.5,0,"C1053, C1325, C1435",03-11-2025 12:49,25,4K,4,95.78,0,Wallet,649,0,30-01-2023,
U10059,Travis Werner,21,Other,Kerala,Standard,27-03-2024,08-11-2024,0,Smart TV,C1174,Front-line asymmetric encoding,Action,Documentary,Tamil,2024,75.04,7149.35,22-07-2025,137.64,67.42,2.6,0,"C1124, C1322, C1296",03-11-2025 06:46,30,1080p,17,97.26,3,UPI,799,0,18-10-2023,
U10060,Kevin Torres,39,Other,Maharashtra,Premium,27-02-2024,10-01-2025,1,Laptop,C1110,Multi-layered 4thgeneration capacity,Drama,Documentary,Japanese,2023,174.07,11261.39,31-08-2025,151.43,47.93,3.1,0,"C1403, C1021, C1013",10-11-2025 09:06,14,4K,20,83.74,0,UPI,199,0,05-10-2023,
U10061,Sarah Myers,52,Female,West Bengal,Standard,01-06-2024,31-01-2025,1,Smart TV,C1407,Proactive 3rdgeneration workforce,Thriller,Movie,Tamil,2022,82.36,2734.98,03-11-2025,94.29,51.53,2,0,"C1468, C1136, C1364",09-11-2025 02:40,16,4K,16,32.93,4,Credit Card,499,0,13-08-2023,
U10062,Anthony Salazar,41,Female,Karnataka,Basic,09-07-2024,25-02-2025,1,Mobile,C1194,Cloned real-time hardware,Action,Documentary,Japanese,2020,106.65,4312.34,24-07-2025,169.99,98.6,1,0,"C1448, C1337, C1100",10-11-2025 05:15,4,1080p,9,18.73,5,Credit Card,499,0,05-04-2024,
U10063,Jacob Harrison,26,Male,Karnataka,Basic,21-04-2024,19-02-2025,1,Laptop,C1436,Digitized content-based encoding,Horror,Series,Korean,2016,134.85,11342.78,29-08-2025,133.59,91.02,4.1,1,"C1033, C1404, C1448",01-11-2025 00:26,13,720p,19,23.06,3,Wallet,799,0,17-03-2024,
U10064,Sandra Kelly,50,Male,Karnataka,Standard,20-05-2024,12-05-2025,1,Laptop,C1337,Face-to-face transitional complexity,Sci-Fi,Series,Hindi,2024,116.18,2589.29,08-06-2025,87.9,44.45,1.5,0,"C1127, C1462, C1165",09-11-2025 17:36,3,480p,11,84.9,0,Wallet,799,0,03-04-2024,
U10065,Timothy Hurley,45,Male,Kerala,Basic,06-09-2024,10-06-2025,1,Smart TV,C1206,Phased asynchronous budgetary management,Drama,Documentary,Spanish,2019,68.67,4215.92,01-08-2025,145.84,57.65,3.8,0,"C1494, C1384, C1274",01-11-2025 04:56,30,480p,22,81.09,4,Debit Card,799,0,15-03-2024,
U10066,Lauren Wells,29,Other,Delhi,Premium,22-11-2023,24-08-2024,0,Mobile,C1383,Automated attitude-oriented help-desk,Drama,Series,Korean,2016,83.16,1340.26,11-10-2025,159.02,63.66,2.3,0,"C1391, C1294, C1223",05-11-2025 22:30,21,1080p,18,65.17,3,Wallet,499,1,02-02-2023,
U10067,David Rice,23,Male,Kerala,Standard,19-05-2024,09-01-2025,1,Laptop,C1209,Extended bi-directional initiative,Sci-Fi,Movie,Japanese,2023,31.34,1407.49,25-05-2025,160.5,94.58,4.9,1,"C1027, C1051, C1463",08-11-2025 15:55,19,1080p,7,48.83,3,Wallet,799,0,13-08-2023,
U10068,James Pacheco,45,Male,Bihar,Basic,08-01-2024,11-10-2024,0,Smart TV,C1484,Intuitive logistical Graphic Interface,Horror,Series,Tamil,2022,90.61,1325.69,17-10-2025,143.8,57.45,4.5,1,"C1254, C1492, C1246",10-11-2025 15:17,19,1080p,6,40.63,1,Debit Card,199,1,07-06-2023,
U10069,Amanda Patterson,56,Male,Tamil Nadu,Basic,25-07-2024,16-07-2025,1,Mobile,C1081,Balanced mission-critical process improvement,Drama,Series,English,2024,80.37,1824.71,26-09-2025,22.29,79.03,2.3,0,"C1238, C1351, C1011",08-11-2025 11:25,24,480p,10,92.59,0,Debit Card,199,0,03-03-2024,
U10070,Lisa Harper,40,Other,Bihar,Standard,03-06-2024,29-12-2024,0,Tablet,C1169,Distributed reciprocal attitude,Drama,Movie,Korean,2020,35.99,3054.68,31-07-2025,145.08,73.6,1.7,0,"C1364, C1295, C1464",07-11-2025 10:45,29,4K,13,24.93,5,Debit Card,649,1,17-03-2024,
U10071,Brianna Watkins,60,Male,Tamil Nadu,Basic,19-04-2024,25-11-2024,0,Smart TV,C1124,User-friendly contextually-based orchestration,Romance,Documentary,Telugu,2022,158.97,2791.86,30-05-2025,69.61,56.01,4,1,"C1168, C1395, C1198",05-11-2025 19:52,8,4K,8,61.99,2,Debit Card,649,1,18-01-2024,
U10072,Janet Pena,35,Female,Kerala,Basic,27-05-2024,09-02-2025,1,Tablet,C1100,Devolved bifurcated standardization,Drama,Documentary,English,2017,137.93,5083.18,29-08-2025,169.06,80.24,4,1,"C1409, C1355, C1209",06-11-2025 17:10,20,720p,21,85.74,4,UPI,649,0,05-10-2023,
U10073,Anthony Hall,55,Male,Karnataka,Standard,12-06-2024,27-05-2025,1,Laptop,C1006,Cross-platform discrete leverage,Action,Series,Japanese,2015,88.98,4218.33,12-08-2025,166.37,63.45,1.7,0,"C1266, C1426, C1368",06-11-2025 03:16,7,480p,15,93.04,1,Wallet,799,0,28-10-2023,
U10074,Kimberly Bryan,56,Male,Uttar Pradesh,Premium,14-09-2024,23-07-2025,1,Laptop,C1174,Distributed solution-oriented knowledgebase,Romance,Series,Korean,2018,110.02,6136.85,24-07-2025,132.78,57.23,4.7,1,"C1424, C1199, C1031",02-11-2025 10:23,25,720p,15,49.93,4,UPI,649,0,29-03-2024,
U10075,Matthew Smith,49,Male,Karnataka,Premium,15-02-2024,10-02-2025,1,Tablet,C1158,Digitized eco-centric artificial intelligence,Horror,Movie,Tamil,2015,68.98,2599.63,14-10-2025,79.81,90.52,4,1,"C1105, C1497, C1256",07-11-2025 03:48,21,480p,19,62.02,3,Credit Card,499,0,04-09-2023,
U10076,John Salas,38,Other,Bihar,Basic,17-10-2024,08-08-2025,1,Smart TV,C1076,Proactive high-level core,Romance,Movie,Hindi,2025,166,3897.3,21-09-2025,125.96,95.81,2.6,0,"C1413, C1223, C1210",03-11-2025 15:53,9,4K,3,80.31,3,Wallet,799,0,10-05-2024,
U10077,Mallory Callahan,32,Male,Bihar,Standard,31-08-2024,27-03-2025,1,Smart TV,C1214,Stand-alone neutral definition,Drama,Movie,English,2022,169.96,4461.51,14-06-2025,59.59,71.16,3.7,0,"C1498, C1123, C1243",02-11-2025 23:58,7,4K,8,48.33,4,UPI,499,0,27-03-2024,
U10078,William Brown,49,Other,West Bengal,Standard,04-11-2024,19-09-2025,1,Smart TV,C1026,Profit-focused secondary moderator,Sci-Fi,Movie,Telugu,2018,121.86,3767.17,30-05-2025,30.77,43.02,3,0,"C1442, C1452, C1191",10-11-2025 14:44,16,4K,16,30.1,4,Debit Card,199,0,01-10-2024,
U10079,Alex Fisher III,18,Other,Uttar Pradesh,Basic,02-05-2024,19-02-2025,1,Smart TV,C1077,Synchronized responsive hierarchy,Horror,Movie,Japanese,2016,43.18,4257.02,04-08-2025,67.4,89.88,3.9,0,"C1235, C1267, C1371",03-11-2025 17:40,8,480p,0,28.08,2,UPI,649,0,02-12-2023,
U10080,Heather Bentley,45,Male,Bihar,Premium,25-03-2024,12-12-2024,0,Tablet,C1283,Function-based content-based customer loyalty,Romance,Documentary,Korean,2024,169.08,7914.83,02-07-2025,153.21,48.2,4.7,1,"C1004, C1266, C1492",06-11-2025 08:13,8,720p,10,26.87,3,Credit Card,799,0,27-06-2023,
U10081,Regina Newton,26,Female,West Bengal,Premium,15-01-2024,04-09-2024,0,Mobile,C1245,Integrated human-resource matrix,Comedy,Series,Korean,2017,78.77,2988.81,10-09-2025,169.76,95.47,3.4,0,"C1321, C1202, C1183",04-11-2025 08:17,27,480p,18,96.93,4,Debit Card,199,1,08-04-2023,
